"","Input","Filtered","Denoised","Sequence Table","Non-chimeric"
"SRR1016407",9908,8721,8721,8721,8551
"SRR1016408",9514,7914,7914,7914,7436
"SRR1016409",15119,13085,13085,13085,11789
"SRR1016410",1,1,1,1,1
"SRR1016411",11817,9996,9996,9996,8937
"SRR1016413",3,1,1,1,1
"SRR1016416",7727,6477,6477,6477,6477
"SRR1016417",7786,6626,6626,6626,5638
"SRR1016418",13944,12250,12250,12250,11907
"SRR1016419",11007,7942,7942,7942,7827
"SRR1016420",10682,9373,9373,9373,8821
"SRR1016421",9318,8128,8128,8128,8128
"SRR1016422",4843,3467,3467,3467,3417
"SRR1016423",5380,4591,4591,4591,3857
"SRR1016424",4803,1732,1732,1732,1732
